"","id","Weight","CombinedEffort","CombinedSightings","ENC_Rate"
"1",3382,1,18,0,0
"2",3381,1,5,0,0
"3",3380,1,2,0,0
"4",3379,1,8,0,0
"5",3378,1,12,0,0
"6",3377,1,0,0,0
"7",3376,1,0,0,0
"8",3375,1,0,0,0
"9",3374,1,0,0,0
"10",3373,1.23883099194108,0,0,0
"11",7467,1,0,0,0
"12",7466,1,0,0,0
"13",7465,1,0,0,0
"14",7464,1,0,0,0
"15",7463,1,0,0,0
"16",7462,1,0,0,0
"17",7461,1,0,0,0
"18",7460,1,0,0,0
"19",7459,1,22765,0,0
"20",7458,1,22765,0,0
"21",7457,1,22765,0,0
"22",7456,1,22786,3,0.000131659791099798
"23",7455,1,22839,18,0.000788125574674898
"24",7454,1.0978862841596,22935,41,0.00196264825160426
"25",7453,208.591632801487,22765,0,0
"26",3332,1,0,0,0
"27",3331,1,0,0,0
"28",3330,1,0,0,0
"29",3329,1,0,0,0
"30",3328,1,0,0,0
"31",7551,1,0,0,0
"32",7550,1,0,0,0
"33",7549,1,0,0,0
"34",7548,1,0,0,0
"35",7547,1,0,0,0
"36",7546,1,0,0,0
"37",7545,1,22765,0,0
"38",7544,1,22765,0,0
"39",7543,1,22765,0,0
"40",7542,1,22776,0,0
"41",7541,1,22795,12,0.000526431234919939
"42",7540,1.07834281448322,22783,22,0.0010412826194369
"43",7539,41.8886867246719,22765,0,0
"44",3417,1,0,0,0
"45",3416,1,0,0,0
"46",3415,1,0,0,0
"47",3414,1,0,0,0
"48",3413,1,0,0,0
"49",3412,1,0,0,0
"50",3411,1,0,0,0
"51",3410,1,0,0,0
"52",3409,1,0,0,0
"53",3408,1,0,0,0
"54",3407,1,0,0,0
"55",3406,1,0,0,0
"56",3405,1,25,0,0
"57",3404,1,0,0,0
"58",3403,1,0,0,0
"59",3402,1,0,0,0
"60",3401,1,0,0,0
"61",3400,1,0,0,0
"62",3399,1,7,0,0
"63",3398,1,0,0,0
"64",3397,1,7,0,0
"65",3396,1,0,0,0
"66",3395,1,0,0,0
"67",3394,1,0,0,0
"68",3393,1,0,0,0
"69",3392,1,3,0,0
"70",3245,1,0,0,0
"71",3244,1,0,0,0
"72",3243,1,0,0,0
"73",3242,1,0,0,0
"74",3241,1,0,0,0
"75",3240,1,0,0,0
"76",3239,1,0,0,0
"77",3238,1,0,0,0
"78",3237,1,0,0,0
"79",3236,1,0,0,0
"80",3235,1,0,0,0
"81",3234,1,113,0,0
"82",3233,1,41,0,0
"83",3232,1,0,0,0
"84",3231,1,0,0,0
"85",3230,1,0,0,0
"86",3229,1,0,0,0
"87",3228,1,0,0,0
"88",3227,1,7,0,0
"89",3226,1,0,0,0
"90",3225,1,0,0,0
"91",3224,1,18,0,0
"92",3223,1,12,0,0
"93",3222,1,7,0,0
"94",3221,1,0,0,0
"95",3220,1,0,0,0
"96",3219,1,0,0,0
"97",3218,1,0,0,0
"98",3217,1,0,0,0
"99",3216,1,0,0,0
"100",3215,1,10,0,0
"101",3214,1,6,0,0
"102",3213,1,0,0,0
"103",3212,1,0,0,0
"104",3211,1,0,0,0
"105",3210,1,10,0,0
"106",3209,1,5,0,0
"107",3208,1,3,0,0
"108",3207,1,13,0,0
"109",3206,1,0,0,0
"110",3205,1,0,0,0
"111",3204,1,0,0,0
"112",3203,1,0,0,0
"113",3202,1,0,0,0
"114",3327,1,0,0,0
"115",3326,1,0,0,0
"116",3325,1,0,0,0
"117",7296,1,0,0,0
"118",3324,1,0,0,0
"119",3323,1,0,0,0
"120",3322,1,0,0,0
"121",3321,1,0,0,0
"122",3320,1,26,0,0
"123",3319,1,0,0,0
"124",3318,1,0,0,0
"125",3317,1,0,0,0
"126",3316,1,0,0,0
"127",3315,1,0,0,0
"128",3314,1,0,0,0
"129",3313,1,7,0,0
"130",3312,1,0,0,0
"131",3311,1,7,0,0
"132",3310,1,0,0,0
"133",3309,1,1,0,0
"134",3308,1,11,0,0
"135",3307,1,12,0,0
"136",3306,1,53,0,0
"137",3305,1,10,0,0
"138",3304,1,0,0,0
"139",3303,1,0,0,0
"140",3302,1,0,0,0
"141",3301,1,0,0,0
"142",3300,1,10,0,0
"143",3299,1,11,0,0
"144",3298,1,8,0,0
"145",3297,1,6,0,0
"146",3296,1,7,0,0
"147",3295,1,4,0,0
"148",3294,1,7,0,0
"149",3293,1,12,0,0
"150",3292,1,0,0,0
"151",3291,1,0,0,0
"152",3290,1,0,0,0
"153",3289,1,0,0,0
"154",3288,1,0,0,0
"155",7381,1,0,0,0
"156",7380,1,0,0,0
"157",7379,1,0,0,0
"158",7378,1,0,0,0
"159",7377,1,0,0,0
"160",7376,1,0,0,0
"161",7375,1,0,0,0
"162",7374,1,0,0,0
"163",7373,1,0,0,0
"164",7372,1,22765,0,0
"165",7371,1,22765,0,0
"166",7370,1,22787,5,0.000219423355421951
"167",7369,1,22783,9,0.000395031383048764
"168",7368,1,22799,13,0.000570200447388043
"169",7367,1.15929759604125,22897,29,0.0014682984795037
"170",7366,228.029202090656,0,0,0
"171",3135,1,0,0,0
"172",3134,1,0,0,0
"173",3133,1,0,0,0
"174",3132,1,0,0,0
"175",3131,1,5,0,0
"176",3130,1,7,0,0
"177",3129,1,0,0,0
"178",3128,1,0,0,0
"179",3127,1,0,0,0
"180",3126,1,0,0,0
"181",3125,1,0,0,0
"182",3124,1,7,0,0
"183",3123,1,0,0,0
"184",3122,1,9,0,0
"185",3121,1,1,0,0
"186",3120,1,0,0,0
"187",3119,1,0,0,0
"188",3118,1,0,0,0
"189",3117,1,0,0,0
"190",7210,1,0,0,0
"191",7209,1,0,0,0
"192",7208,1,0,0,0
"193",7207,1,0,0,0
"194",7206,1,0,0,0
"195",7205,1,0,0,0
"196",7204,1,0,0,0
"197",7203,1,0,0,0
"198",7202,1,0,0,0
"199",7201,1,0,0,0
"200",7200,1,22765,0,0
"201",7199,1,22765,0,0
"202",7198,1,22765,0,0
"203",7197,1,22766,0,0
"204",7196,1,22769,0,0
"205",7195,1,22838,3,0.000131360014011735
"206",7194,1.01593059012378,22951,5,0.000221325996715563
"207",7193,1.45816427110066,61,0,0
"208",7192,4.50129167225129,3,0,0
"209",7191,107.394137118954,0,0,0
"210",7190,87097.995261129,0,0,0
"211",7189,293.336361183351,0,0,0
"212",7188,2568.06136650423,0,0,0
"213",3072,1,0,0,0
"214",7295,1,0,0,0
"215",7294,1,0,0,0
"216",7293,1,0,0,0
"217",7292,1,0,0,0
"218",7291,1,0,0,0
"219",7290,1,0,0,0
"220",7289,1,0,0,0
"221",7288,1,0,0,0
"222",7287,1,22765,0,0
"223",7286,1,22765,0,0
"224",7285,1,22765,0,0
"225",7284,1,22796,5,0.000219336725741358
"226",7283,1,22771,2,8.78310131307365e-05
"227",7282,1,22796,0,0
"228",7281,1.08133323702528,22915,2,9.43777645232628e-05
"229",7280,21.5822418814129,3,0,0
"230",3159,1,0,0,0
"231",3158,1,0,0,0
"232",3157,1,0,0,0
"233",3156,1,0,0,0
"234",3155,1,0,0,0
"235",3154,1,0,0,0
"236",3153,1,0,0,0
"237",3152,1,0,0,0
"238",3151,1,0,0,0
"239",3150,1,0,0,0
"240",3149,1,178,0,0
"241",3148,1,55,1,0.0181818181818182
"242",3147,1,0,0,0
"243",3146,1,0,0,0
"244",3145,1,0,0,0
"245",3144,1,0,0,0
"246",3143,1,0,0,0
"247",3142,1,0,0,0
"248",3141,1,15,0,0
"249",3140,1,13,0,0
"250",3139,1,11,0,0
"251",3138,1,3,0,0
"252",3137,1,0,0,0
"253",3136,1,0,0,0
"254",7103,1.02744584378888,16761,14,0.000858197113122387
"255",7102,1.16004337110926,16761,4,0.000276843474997734
"256",7101,1.8068063092098,16760,0,0
"257",7100,40.4938478345551,0,0,0
"258",2986,1,0,0,0
"259",2985,1,0,0,0
"260",2984,1,0,0,0
"261",2983,1,0,0,0
"262",2982,1,0,0,0
"263",2981,1,0,0,0
"264",2980,1,0,0,0
"265",2979,1,0,0,0
"266",2978,1,0,0,0
"267",2977,1,0,0,0
"268",2976,1,0,0,0
"269",2975,1,0,0,0
"270",2974,1,9,0,0
"271",2973,1,12,0,0
"272",2972,1,10,0,0
"273",2971,1,0,0,0
"274",2970,1,4,0,0
"275",2969,1,0,0,0
"276",2968,1,0,0,0
"277",2967,1,32,0,0
"278",2966,1,0,0,0
"279",2965,1,0,0,0
"280",2964,1,0,0,0
"281",2963,1,0,0,0
"282",2962,1,5,0,0
"283",2961,1,8,0,0
"284",2960,1,4,0,0
"285",2959,1,0,0,0
"286",2958,1,0,0,0
"287",2957,1,0,0,0
"288",2956,1,0,0,0
"289",2955,1,0,0,0
"290",2954,1,0,0,0
"291",2953,1,6,0,0
"292",2952,1,0,0,0
"293",2951,1,6,0,0
"294",2950,1,6,0,0
"295",2949,1,0,0,0
"296",2948,1,0,0,0
"297",2947,1,0,0,0
"298",2946,1,0,0,0
"299",3071,1,0,0,0
"300",3070,1,0,0,0
"301",3069,1,0,0,0
"302",3068,1,0,0,0
"303",3067,1,0,0,0
"304",3066,1,0,0,0
"305",3065,1,0,0,0
"306",3064,1,0,0,0
"307",3063,1,64,0,0
"308",3062,1,0,0,0
"309",3061,1,0,0,0
"310",3060,1,0,0,0
"311",3059,1,0,0,0
"312",3058,1,0,0,0
"313",3057,1,8,0,0
"314",3056,1,13,0,0
"315",3055,1,19,0,0
"316",3054,1,0,0,0
"317",3053,1,0,0,0
"318",3052,1,44,0,0
"319",3051,1,0,0,0
"320",3050,1,0,0,0
"321",3049,1,0,0,0
"322",3048,1,0,0,0
"323",3047,1,0,0,0
"324",3046,1,0,0,0
"325",3045,1,9,0,0
"326",3044,1,0,0,0
"327",3043,1,0,0,0
"328",3042,1,0,0,0
"329",3041,1,0,0,0
"330",3040,1,0,0,0
"331",3039,1,0,0,0
"332",3038,1,6,0,0
"333",3037,1,0,0,0
"334",3036,1,7,0,0
"335",3035,1,5,0,0
"336",3034,1,0,0,0
"337",3033,1,0,0,0
"338",3032,1,0,0,0
"339",3031,1,0,0,0
"340",7125,1,0,0,0
"341",7124,1,0,0,0
"342",7123,1,0,0,0
"343",7122,1,0,0,0
"344",7121,1,0,0,0
"345",7120,1,0,0,0
"346",7119,1,0,0,0
"347",7118,1,0,0,0
"348",7117,1,0,0,0
"349",7116,1,0,0,0
"350",7115,1,0,0,0
"351",7114,1,22765,0,0
"352",7113,1,22765,5,0.000219635405227323
"353",7112,1,22765,0,0
"354",7111,1,22765,0,0
"355",7110,1,22765,0,0
"356",7109,1,22798,0,0
"357",7108,1,22867,0,0
"358",7107,1,149,6,0.0402684563758389
"359",2879,1,0,0,0
"360",7106,1.37684855429889,98,4,0.0561979001754649
"361",2878,1,0,0,0
"362",7105,1.07910527180436,16828,10,0.000641255806872091
"363",2877,1,4,0,0
"364",7104,1.11161277781677,16784,39,0.00258298965293458
"365",2876,1,7,0,0
"366",2875,1,15,0,0
"367",2874,1,0,0,0
"368",2873,1,0,0,0
"369",2872,1,0,0,0
"370",2871,1,0,0,0
"371",2870,1,0,0,0
"372",2869,1,0,0,0
"373",2868,1,0,0,0
"374",2867,1,7,0,0
"375",2866,1,0,0,0
"376",2865,1,6,0,0
"377",2864,1,6,0,0
"378",2863,1,0,0,0
"379",2862,1,0,0,0
"380",2861,1,0,0,0
"381",2860,1,0,0,0
"382",6954,1,2,0,0
"383",6953,1,2,0,0
"384",6952,1,3,0,0
"385",6951,1,4,0,0
"386",6950,1,4,0,0
"387",6949,1,3,0,0
"388",6948,1,1,0,0
"389",6947,1,0,0,0
"390",6946,1,0,0,0
"391",6945,1,0,0,0
"392",6944,1,0,0,0
"393",6943,1,0,0,0
"394",6942,1,0,0,0
"395",6941,1,0,0,0
"396",6940,1,1,0,0
"397",6939,1,22767,0,0
"398",6938,1,22769,0,0
"399",6937,1,22772,1,4.39135780783418e-05
"400",6936,1,18,0,0
"401",6935,1,20,0,0
"402",6934,1,104,4,0.0384615384615385
"403",6933,1,16980,13,0.000765606595995289
"404",6932,1,16850,8,0.000474777448071217
"405",6931,1,16804,8,0.000476077124494168
"406",6930,1,16779,4,0.000238393229632278
"407",6929,1,16763,4,0.000238620771938197
"408",6928,1,32773,9,0.000274616300003051
"409",6927,3.71627555365013,16011,0,0
"410",7039,1,0,0,0
"411",7038,1,0,0,0
"412",7037,1,0,0,0
"413",7036,1,0,0,0
"414",7035,1,0,0,0
"415",7034,1,0,0,0
"416",7033,1,0,0,0
"417",7032,1,0,0,0
"418",7031,1,0,0,0
"419",7030,1,0,0,0
"420",7029,1,0,0,0
"421",7028,1,0,0,0
"422",7027,1,0,0,0
"423",7026,1,22765,0,0
"424",7025,1,22765,0,0
"425",7024,1,22765,1,4.39270810454645e-05
"426",7023,1,22765,0,0
"427",7022,1,22778,0,0
"428",7021,1,22802,1,4.38558021226208e-05
"429",7020,1,212,1,0.00471698113207547
"430",7019,1,16989,10,0.000588616163399847
"431",7018,1,16832,11,0.00065351711026616
"432",7017,1,16829,13,0.000772476082952047
"433",7016,1,16776,5,0.000298044825941822
"434",7015,1,16754,7,0.00041781067207831
"435",7014,1.02790375511297,16762,2,0.000122646910286717
"436",7013,8.06432977720306,32764,0,0
"437",2900,1,3,0,0
"438",2899,1,23,0,0
"439",2898,1,14,0,0
"440",2897,1,0,0,0
"441",2896,1,0,0,0
"442",2895,1,0,0,0
"443",2894,1,0,0,0
"444",2893,1,0,0,0
"445",2892,1,0,0,0
"446",2891,1,0,0,0
"447",2890,1,0,0,0
"448",2889,1,13,0,0
"449",2888,1,8,0,0
"450",2887,1,0,0,0
"451",2886,1,0,0,0
"452",2885,1,0,0,0
"453",2884,1,0,0,0
"454",2883,1,11,0,0
"455",2882,1,0,0,0
"456",2881,1,0,0,0
"457",2880,1,7,0,0
"458",6847,1,38,0,0
"459",6846,1,16820,0,0
"460",6845,1,16833,2,0.000118814233945227
"461",6844,1,16808,2,0.000118990956687292
"462",6843,1,16887,3,0.0001776514478593
"463",6842,1,32819,7,0.000213291081385783
"464",6841,1,32805,7,0.000213382106386222
"465",6840,2.32363673897326,16018,0,0
"466",6838,4.99048730331495,16227,0,0
"467",6837,259.469677091468,16011,4,0.0648228535610438
"468",2725,1,0,0,0
"469",2724,1,0,0,0
"470",2723,1,11,0,0
"471",2722,1,18,0,0
"472",2721,1,17,0,0
"473",2720,1,13,0,0
"474",2719,1,8,0,0
"475",2718,1,0,0,0
"476",2717,1,0,0,0
"477",2716,1,0,0,0
"478",2715,1,0,0,0
"479",2714,1,0,0,0
"480",2713,1,0,0,0
"481",2712,1,0,0,0
"482",2711,1,12,0,0
"483",2710,1,0,0,0
"484",2709,1,6,0,0
"485",2708,1,16,0,0
"486",2707,1,2,0,0
"487",2706,1,0,0,0
"488",2705,1,0,0,0
"489",2704,1,0,0,0
"490",2703,1,0,0,0
"491",2702,1,0,0,0
"492",2701,1,0,0,0
"493",2700,1,0,0,0
"494",2699,1,0,0,0
"495",2698,1,0,0,0
"496",2697,1,5,0,0
"497",2696,1,3,0,0
"498",2695,1,0,0,0
"499",2694,1,2,0,0
"500",2693,1,4,0,0
"501",2692,1,6,0,0
"502",2691,1,0,0,0
"503",2690,1,0,0,0
"504",2689,1,0,0,0
"505",2813,1,0,0,0
"506",2812,1,13,0,0
"507",2811,1,18,0,0
"508",2810,1,15,0,0
"509",2809,1,1,0,0
"510",2808,1,0,0,0
